Sample Number,Sampled Point Number,Latitude + Longitude,Heading,Date,Image Name,Road Types,Web Link
104,26,"13.7717546001,100.3882936",W,2012-02,0000000104_13.7717546001_100.3882936_W.jpg,"unclassified,living_street",https://drive.google.com/uc?id=0B7dZI0Kce2cSQWlhMjdBVjNyQms
105,27,"13.9316146,100.6367006",N,2012-02,0000000105_13.9316146_100.6367006_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSQThZYlhka01TNlU
106,27,"13.9316146,100.6367006",E,2012-02,0000000106_13.9316146_100.6367006_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSNlQzVGVkTkEzYXc
107,27,"13.9316146,100.6367006",S,2012-02,0000000107_13.9316146_100.6367006_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSOElodWFDeEZxNDA
108,27,"13.9316146,100.6367006",W,2012-02,0000000108_13.9316146_100.6367006_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSTFJpZDl1NEFycWs
109,28,"13.7102049002,100.6074422",N,2011-12,0000000109_13.7102049002_100.6074422_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSVTlkTVhyd216cW8
110,28,"13.7102049002,100.6074422",E,2011-12,0000000110_13.7102049002_100.6074422_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSb3JfVHhHaTFaNWc
111,28,"13.7102049002,100.6074422",S,2011-12,0000000111_13.7102049002_100.6074422_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSRExCY0h5aWdnU2s
112,28,"13.7102049002,100.6074422",W,2011-12,0000000112_13.7102049002_100.6074422_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSN09IQlpnQ0dYSU0
113,29,"13.7022508998,100.3897307",N,2012-02,0000000113_13.7022508998_100.3897307_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSdlNNbmZYZDkxOW8
114,29,"13.7022508998,100.3897307",E,2012-02,0000000114_13.7022508998_100.3897307_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSRV9yczhQRngyN1E
115,29,"13.7022508998,100.3897307",S,2012-02,0000000115_13.7022508998_100.3897307_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSNDgyTHdnWVo1RFk
116,29,"13.7022508998,100.3897307",W,2012-02,0000000116_13.7022508998_100.3897307_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSWVMzdGlSdUNTN2c
117,30,"13.7128027967,100.471199401",N,2012-01,0000000117_13.7128027967_100.471199401_N.jpg,"primary_link,tertiary",https://drive.google.com/uc?id=0B7dZI0Kce2cSbWozS21JUGVkSzg
